age,c_charge_degree,race,age_cat,score_text,sex,priors_count,length_of_stay,days_b_screening_arrest,decile_score,two_year_recid
42,0,2,0,1,1,1,1,0.0,2,1
41,0,0,0,0,1,10,177,0.0,9,1
22,0,0,2,1,1,0,1,-1.0,4,1
33,0,0,0,0,1,28,2,-1.0,8,1
31,1,0,0,2,1,1,2,-1.0,7,0
30,0,5,0,1,0,1,2,-1.0,2,0
31,0,2,0,0,1,13,472,-1.0,10,1
27,0,0,0,0,1,3,1,-1.0,9,1
52,1,2,1,0,1,3,1,-2.0,9,0
33,0,0,0,0,1,19,1,-1.0,10,1
42,0,2,0,1,1,6,0,-4.0,3,0
25,0,2,0,1,0,2,4,-1.0,4,0
30,1,2,0,1,1,1,4,-20.0,2,0
37,1,5,0,1,0,2,2,-1.0,2,0
28,1,2,0,1,1,0,1,-1.0,2,1
24,1,0,2,1,0,0,3,-1.0,2,0
29,0,2,0,1,0,10,8,-1.0,4,1
44,1,2,0,1,1,2,0,0.0,2,1
32,0,0,0,2,1,3,9,-1.0,7,1
31,1,2,0,1,1,2,16,-16.0,3,1
31,1,0,0,1,1,1,2,-1.0,2,0
59,0,2,1,1,1,1,1,-1.0,2,1
20,0,0,2,0,0,1,3,0.0,10,0
43,1,2,0,1,0,0,1,0.0,1,0
38,0,0,0,0,1,9,14,-1.0,8,1
32,0,0,0,2,1,11,2,-2.0,6,1
33,1,0,0,2,1,8,1,-1.0,5,1
31,0,0,0,1,0,0,2,-1.0,3,1
33,0,0,0,0,0,7,27,-1.0,9,1
27,0,0,0,0,1,2,2,-1.0,9,1
20,0,0,2,2,0,0,1,0.0,6,0
26,1,2,0,2,0,0,1,-2.0,6,0
61,0,0,1,1,0,1,1,-1.0,1,1
52,0,5,1,2,1,13,2,-1.0,7,1
63,0,3,1,1,1,1,15,-26.0,1,0
32,0,0,0,0,0,4,7,-7.0,10,1
29,0,3,0,1,1,1,1,-1.0,4,0
26,1,0,0,1,0,2,1,-1.0,4,1
39,1,2,0,1,1,1,4,-1.0,4,0
30,0,2,0,2,0,3,531,0.0,7,1
30,0,0,0,2,1,1,71,0.0,7,0
48,1,2,1,1,1,2,1,-1.0,2,0
22,0,0,2,1,1,1,1,-1.0,2,0
46,0,2,1,1,1,6,23,22.0,1,1
31,0,2,0,2,1,0,3,0.0,5,0
25,1,0,0,1,1,1,2,-1.0,2,1
23,0,3,2,1,1,0,1,-1.0,3,0
32,0,0,0,2,0,5,2,-1.0,7,0
52,1,3,1,1,1,2,4,-1.0,1,0
62,0,0,1,1,1,8,16,0.0,4,0
31,0,3,0,0,1,8,118,29.0,9,1
28,1,0,0,2,1,6,1,-1.0,6,1
54,0,3,1,1,1,2,189,-1.0,1,0
58,0,3,1,1,1,0,1,-1.0,2,0
78,1,2,1,1,1,1,1,-1.0,1,1
56,0,2,1,1,1,0,2,-1.0,1,0
24,0,5,2,1,1,0,2,-1.0,2,0
22,0,0,2,2,1,1,1,0.0,5,1
47,1,0,1,0,1,23,1,-1.0,8,1
23,1,0,2,1,1,0,2,-1.0,2,1
57,0,3,1,1,1,1,20,0.0,1,0
66,0,0,1,1,1,3,3,-10.0,1,0
45,1,2,1,1,1,8,72,0.0,4,1
37,1,0,0,0,1,2,1,0.0,9,1
39,0,2,0,1,1,0,1,0.0,4,1
26,0,0,0,0,1,9,80,0.0,9,1
45,0,2,1,1,1,2,359,-1.0,3,0
23,0,0,2,1,1,0,1,-1.0,3,1
34,1,0,0,1,1,2,26,0.0,2,0
23,1,0,2,1,0,1,1,-1.0,4,0
36,1,5,0,1,1,2,3,-1.0,3,1
50,0,2,1,1,1,1,2,-4.0,1,0
37,1,2,0,1,0,0,1,-1.0,3,0
44,1,2,0,1,1,4,2,0.0,4,0
35,0,0,0,0,0,23,3,-1.0,9,1
24,0,5,2,2,1,5,1,-1.0,5,1
26,0,0,0,0,1,2,2,-1.0,10,1
27,1,0,0,1,1,0,3,-1.0,2,0
28,0,0,0,0,0,0,30,0.0,8,0
28,0,2,0,0,0,7,2,-1.0,9,1
38,0,0,0,1,1,2,2,-1.0,1,0
28,0,0,0,0,0,1,39,-1.0,9,0
56,0,2,1,1,1,7,1,-1.0,1,1
38,0,0,0,0,1,15,2,-1.0,9,0
28,1,0,0,2,1,2,1,-1.0,5,0
51,1,2,1,1,0,0,1,-1.0,1,1
51,1,2,1,1,1,0,1,-1.0,2,0
36,1,5,0,1,1,1,2,-1.0,1,1
48,0,0,1,1,1,0,2,-1.0,1,0
37,0,2,0,1,1,4,2,0.0,3,1
30,0,0,0,2,0,2,3,-1.0,7,0
41,1,0,0,2,0,5,1,0.0,6,0
27,0,0,0,0,1,11,224,-1.0,10,1
37,1,0,0,1,1,0,2,-1.0,1,0
33,0,5,0,1,1,4,3,0.0,4,1
54,0,0,1,0,1,11,130,-1.0,9,0
23,0,0,2,0,1,2,72,-1.0,9,0
41,1,0,0,1,1,0,1,0.0,1,0
52,0,2,1,1,1,0,1,-1.0,1,0
43,0,2,0,1,1,13,52,0.0,4,1
52,0,0,1,1,1,0,14,-1.0,4,0
28,0,2,0,1,1,1,4,-3.0,1,0
30,1,0,0,0,1,11,2,-1.0,9,1
28,0,2,0,2,1,1,7,0.0,5,0
22,0,0,2,1,1,0,1,-1.0,4,0
30,0,0,0,1,1,4,0,0.0,2,0
25,0,3,0,1,1,4,2,0.0,4,0
31,0,2,0,0,1,0,31,-1.0,8,1
37,0,2,0,1,1,0,36,-1.0,2,1
32,0,0,0,0,1,14,2,-1.0,9,0
53,1,2,1,1,1,1,2,-1.0,1,0
28,0,0,0,0,1,25,26,29.0,8,1
44,1,2,0,2,1,8,5,-1.0,5,1
25,0,0,0,1,1,0,1,0.0,3,0
22,1,2,2,0,1,1,6,0.0,8,1
37,1,5,0,1,0,0,2,-1.0,1,0
40,0,5,0,1,0,3,2,-1.0,2,0
31,1,3,0,1,0,0,1,-1.0,2,0
23,0,3,2,2,1,1,2,-1.0,6,1
23,0,2,2,2,0,5,1,-1.0,5,1
24,1,3,2,0,1,0,1,-3.0,8,0
29,1,0,0,1,1,1,1,-1.0,3,0
20,0,0,2,0,1,1,2,-1.0,8,1
30,0,0,0,2,1,2,2,-1.0,6,1
39,0,5,0,1,1,0,1,-1.0,1,0
27,0,0,0,1,1,4,1,-1.0,4,0
37,0,0,0,1,0,2,1,0.0,1,0
20,0,0,2,0,1,0,3,-1.0,8,0
22,0,3,2,2,1,0,3,0.0,7,0
52,0,0,1,1,0,0,1,-1.0,1,0
23,0,0,2,1,0,0,4,-1.0,4,1
48,0,0,1,1,0,0,2,-1.0,2,0
25,0,2,0,2,1,0,1,0.0,5,0
27,0,2,0,2,1,0,2,-1.0,6,1
30,0,0,0,2,1,11,2,0.0,7,1
22,1,0,2,0,1,3,2,-1.0,10,1
22,0,2,2,1,0,1,1,-1.0,3,0
41,1,0,0,1,0,2,1,-1.0,3,0
25,0,5,0,1,0,0,1,-1.0,2,0
52,0,0,1,2,1,3,25,0.0,6,1
43,0,0,0,1,1,0,42,-1.0,1,0
37,0,2,0,1,1,3,3,-4.0,1,0
70,1,2,1,1,1,1,13,-13.0,1,0
46,0,2,1,1,1,3,15,-1.0,4,0
21,1,0,2,0,1,0,2,-1.0,9,1
26,1,0,0,0,1,1,2,-1.0,8,1
38,0,3,0,1,1,3,2,23.0,1,1
34,1,2,0,1,1,5,2,-1.0,4,0
34,1,0,0,1,1,5,1,-1.0,4,0
23,0,2,2,2,1,0,1,0.0,5,1
34,0,0,0,1,1,5,3,-1.0,4,1
39,0,0,0,1,1,6,3,-1.0,3,1
24,0,5,2,1,1,0,2,-1.0,3,0
58,0,2,1,1,1,2,2,-1.0,3,0
21,1,0,2,2,0,0,1,0.0,6,0
23,1,0,2,0,1,4,12,-11.0,8,1
62,0,2,1,1,1,0,2,0.0,1,0
37,0,2,0,1,1,5,11,-1.0,3,0
43,0,5,0,1,1,2,8,-1.0,2,1
32,0,0,0,1,0,5,0,0.0,1,0
23,0,3,2,1,1,0,46,-1.0,3,0
27,1,0,0,1,1,0,1,0.0,1,0
44,1,2,0,1,1,0,2,-1.0,1,1
28,1,2,0,1,1,3,1,-1.0,3,1
42,0,2,0,1,0,0,2,-3.0,2,0
24,0,5,2,0,1,9,5,-1.0,10,1
27,0,0,0,1,1,0,18,0.0,2,0
20,0,0,2,0,1,0,1,-1.0,10,1
51,1,2,1,1,0,0,2,0.0,1,0
56,1,2,1,1,1,0,2,0.0,1,0
29,0,0,0,0,1,7,2,-1.0,9,0
20,0,0,2,0,1,0,210,-1.0,9,1
27,0,2,0,2,1,8,69,-1.0,5,0
24,0,0,2,0,1,2,20,-1.0,9,1
53,0,2,1,2,1,36,33,-7.0,6,1
28,1,2,0,1,1,2,2,0.0,3,1
21,0,3,2,2,1,3,23,-22.0,5,0
36,0,0,0,2,0,0,13,-1.0,7,0
25,1,2,0,1,0,2,2,-2.0,4,1
23,1,3,2,1,0,1,1,0.0,3,0
28,0,2,0,2,1,1,2,-4.0,5,0
21,0,0,2,0,0,0,2,-1.0,8,1
36,1,2,0,1,1,0,1,-1.0,3,0
24,0,0,2,1,1,0,1,-1.0,3,0
30,0,5,0,1,1,1,1,-1.0,2,1
29,0,0,0,1,1,0,2,-1.0,1,0
30,1,2,0,2,0,0,4,0.0,6,0
51,1,3,1,1,1,1,2,-1.0,1,0
32,0,0,0,0,1,12,2,-1.0,9,1
23,0,0,2,2,1,1,2,0.0,6,0
47,0,0,1,1,1,3,1,0.0,3,0
37,0,2,0,1,1,0,20,-1.0,1,0
19,0,0,2,0,1,2,2,-1.0,10,1
27,1,3,0,0,1,0,3,-1.0,8,0
39,1,5,0,1,1,0,1,-1.0,1,0
21,0,2,2,2,0,0,1,0.0,6,0
69,1,2,1,1,1,0,1,-1.0,1,0
21,0,2,2,2,1,2,3,-1.0,6,0
26,1,0,0,0,1,6,4,0.0,10,1
22,0,2,2,1,1,0,1,-2.0,4,0
23,0,0,2,2,0,0,1,-1.0,5,1
49,0,0,1,2,1,3,4,0.0,5,0
29,1,0,0,1,1,2,51,-1.0,4,0
60,1,2,1,1,0,0,1,-1.0,1,0
23,0,0,2,0,1,3,1,0.0,10,1
20,0,5,2,1,0,1,3,-21.0,4,0
36,0,3,0,1,1,1,96,0.0,3,0
30,0,2,0,1,1,0,2,0.0,4,0
21,0,0,2,1,1,1,0,-1.0,3,0
22,1,2,2,2,1,2,1,-1.0,6,1
21,0,0,2,0,1,4,220,-1.0,9,1
21,0,0,2,2,1,0,13,-1.0,5,1
34,1,2,0,1,1,1,1,0.0,1,0
50,1,2,1,1,0,1,1,-1.0,1,1
40,0,2,0,2,1,0,9,-1.0,7,1
25,0,0,0,0,1,7,128,-1.0,8,1
53,1,2,1,1,0,1,1,-1.0,1,0
24,0,0,2,1,0,0,2,-1.0,4,0
42,0,0,0,1,1,1,5,-12.0,1,0
28,1,0,0,1,1,1,2,-1.0,3,0
26,0,0,0,0,1,6,2,-1.0,8,1
22,0,0,2,0,1,4,261,-1.0,9,1
21,1,2,2,2,1,3,6,-8.0,7,0
37,0,0,0,0,1,23,18,-1.0,9,1
35,0,0,0,2,1,2,6,-1.0,5,0
53,0,0,1,1,1,2,1,-1.0,1,0
29,0,0,0,1,1,7,2,-1.0,4,0
48,0,2,1,0,1,23,361,-1.0,8,1
52,1,2,1,1,0,0,1,0.0,1,0
27,0,0,0,0,1,12,32,-1.0,8,1
28,0,0,0,0,1,5,52,0.0,9,0
33,1,2,0,1,1,3,1,0.0,3,0
28,0,3,0,1,0,0,3,-1.0,2,0
36,0,0,0,2,1,14,1,-1.0,7,1
29,0,0,0,2,1,2,2,-1.0,5,0
22,1,0,2,0,1,0,22,0.0,9,1
25,0,2,0,1,1,0,1,0.0,2,0
56,0,0,1,1,1,5,13,-1.0,3,0
27,0,0,0,0,1,9,53,-1.0,8,1
52,0,2,1,1,1,4,8,-1.0,1,1
32,0,0,0,1,1,3,2,0.0,2,0
60,0,5,1,1,1,4,2,-1.0,1,0
23,1,3,2,1,1,1,6,-5.0,3,0
39,1,2,0,2,0,0,1,-2.0,6,0
56,1,2,1,1,1,0,1,-1.0,1,0
22,0,0,2,2,0,0,1,0.0,7,0
53,0,0,1,2,1,11,111,-1.0,6,0
25,1,2,0,1,1,0,1,0.0,2,1
21,1,3,2,1,1,0,1,0.0,3,0
22,0,2,2,1,1,0,2,-1.0,3,0
58,1,2,1,1,0,2,2,-23.0,1,0
31,1,0,0,1,1,7,2,0.0,3,1
22,0,2,2,2,1,1,1,-1.0,5,1
28,0,0,0,2,1,8,4,-1.0,6,1
42,0,5,0,1,1,1,3,-1.0,1,0
20,0,0,2,2,1,0,1,0.0,7,1
29,1,2,0,2,1,0,6,0.0,6,1
58,1,0,1,2,1,21,60,-1.0,7,1
22,0,0,2,2,1,3,107,-1.0,7,0
48,1,3,1,1,1,1,1,0.0,1,1
37,0,2,0,1,1,0,1,0.0,4,0
57,0,0,1,2,1,1,26,-1.0,5,1
27,1,2,0,1,1,3,0,-22.0,1,0
26,0,0,0,1,1,3,34,0.0,4,0
24,0,2,2,0,1,3,1,0.0,8,1
33,0,2,0,1,1,0,2,-1.0,1,0
29,0,0,0,2,1,2,1,-1.0,6,0
24,0,0,2,0,0,3,2,-1.0,10,1
19,0,2,2,0,1,1,33,-1.0,10,1
36,1,2,0,1,1,2,1,-1.0,1,0
24,0,2,2,2,0,0,1,0.0,5,0
34,1,2,0,1,1,0,1,0.0,1,0
25,0,3,0,2,1,2,1,-1.0,5,1
20,0,0,2,0,1,1,2,-1.0,10,1
24,1,0,2,1,1,1,2,-1.0,2,1
61,0,2,1,1,1,4,2,-1.0,1,0
50,0,0,1,1,0,3,0,0.0,2,0
30,1,0,0,1,1,1,5,0.0,1,0
38,0,0,0,1,1,5,2,-1.0,3,0
24,1,2,2,1,1,0,1,-1.0,1,0
46,0,0,1,0,0,2,10,-1.0,10,1
41,1,2,0,1,1,0,4,-1.0,1,1
20,0,5,2,0,1,0,23,-1.0,8,1
27,1,0,0,0,1,13,2,-1.0,8,1
26,1,0,0,2,1,1,14,-1.0,6,1
29,0,0,0,2,1,3,2,0.0,5,1
52,0,2,1,2,1,6,2,-1.0,5,1
28,0,2,0,1,1,1,5,0.0,4,1
55,0,0,1,1,1,5,119,-1.0,3,1
26,0,0,0,0,1,10,1,-1.0,9,1
28,0,0,0,0,1,5,2,-1.0,10,0
63,0,2,1,1,1,2,4,-3.0,1,0
42,0,0,0,1,1,0,2,0.0,1,0
23,0,0,2,2,1,6,1,-1.0,6,0
54,0,0,1,0,1,28,6,-1.0,9,1
35,0,0,0,2,1,8,11,-1.0,7,1
24,0,0,2,0,0,6,27,-1.0,9,1
54,1,0,1,1,1,2,1,-26.0,1,0
58,1,0,1,2,1,12,4,-1.0,6,1
23,1,2,2,2,1,1,1,0.0,5,1
35,1,0,0,1,1,1,1,-1.0,2,0
20,0,0,2,0,1,1,3,0.0,10,1
51,0,2,1,1,1,0,36,0.0,1,0
24,0,3,2,0,1,0,2,0.0,10,0
37,0,2,0,1,1,3,7,-14.0,2,0
47,0,2,1,1,1,3,1,-1.0,1,0
34,0,2,0,2,1,4,2,-1.0,6,1
56,0,2,1,1,1,0,1,-2.0,1,0
34,0,3,0,1,1,4,32,-1.0,1,1
59,0,2,1,1,1,1,1,-2.0,1,1
35,0,1,0,2,1,0,102,-1.0,6,0
58,0,3,1,1,1,1,11,-11.0,1,0
29,1,3,0,1,1,2,1,-26.0,4,0
24,0,2,2,0,0,6,4,0.0,9,1
21,1,2,2,0,1,2,9,-1.0,9,1
50,0,1,1,2,1,5,12,0.0,7,1
26,0,0,0,1,1,1,2,-1.0,2,0
30,1,2,0,1,0,0,2,-1.0,2,0
29,1,2,0,1,1,0,2,0.0,4,1
54,1,0,1,1,1,0,2,-1.0,1,0
29,0,0,0,1,1,4,9,-1.0,4,1
59,1,2,1,1,0,0,1,-2.0,1,0
38,0,0,0,2,1,0,2,0.0,5,0
27,1,2,0,1,1,1,2,-1.0,3,1
26,0,3,0,2,1,7,2,-1.0,5,1
52,0,3,1,1,1,20,28,-1.0,3,0
66,0,0,1,2,1,33,14,0.0,6,1
27,0,2,0,2,1,2,1,0.0,5,0
51,1,2,1,1,1,1,2,-1.0,1,0
35,0,2,0,1,1,1,75,0.0,2,0
52,1,2,1,1,1,4,1,-1.0,3,0
48,0,5,1,2,1,12,2,0.0,5,0
26,1,0,0,1,0,0,2,-1.0,2,0
48,1,2,1,1,0,0,1,0.0,1,0
30,1,3,0,1,1,7,38,-1.0,4,0
28,1,5,0,1,1,2,2,-1.0,1,0
33,1,0,0,1,1,2,1,0.0,3,0
34,0,0,0,1,0,6,53,-1.0,4,0
25,1,5,0,1,1,0,0,0.0,1,0
59,0,0,1,2,1,10,128,-1.0,7,1
29,0,0,0,2,1,5,3,-1.0,5,1
24,0,2,2,1,1,0,2,0.0,2,0
48,0,2,1,2,1,1,130,-1.0,7,1
52,1,0,1,2,1,4,2,0.0,5,0
20,0,0,2,1,1,0,1,0.0,4,1
25,0,2,0,1,1,4,6,-5.0,4,1
24,0,2,2,1,1,0,16,-1.0,2,0
23,1,2,2,0,1,0,2,-1.0,9,0
27,0,2,0,1,1,6,2,-1.0,4,0
25,1,0,0,1,1,1,1,-1.0,3,1
31,0,0,0,1,1,0,1,-1.0,2,0
25,0,0,0,1,1,6,5,-1.0,4,1
32,0,2,0,1,1,1,1,-7.0,1,1
21,0,2,2,1,1,0,0,-1.0,3,1
37,0,5,0,1,1,1,6,-1.0,1,0
25,0,2,0,1,1,0,1,0.0,3,0
32,0,3,0,0,1,20,1,0.0,10,0
35,0,0,0,2,1,0,3,-1.0,7,0
42,0,0,0,2,1,14,2,-1.0,7,1
24,1,2,2,0,1,9,11,-23.0,10,1
21,0,3,2,2,1,0,1,-1.0,6,1
47,1,2,1,1,1,1,1,0.0,1,0
27,0,0,0,0,1,5,2,-1.0,9,1
43,1,3,0,1,1,2,5,-12.0,1,1
46,0,2,1,2,1,2,1,-1.0,6,1
44,1,0,0,1,1,1,1,0.0,3,0
23,0,2,2,1,1,2,1,-1.0,2,0
42,0,0,0,2,1,8,2,-1.0,5,0
58,0,0,1,2,1,6,145,-1.0,6,0
26,0,0,0,2,1,3,2,-1.0,6,0
48,0,5,1,1,0,0,18,-1.0,1,0
39,0,0,0,1,1,3,4,-1.0,3,1
21,0,0,2,2,1,3,0,0.0,5,1
63,1,2,1,1,1,1,6,-9.0,1,0
22,0,0,2,2,1,3,8,-11.0,7,1
50,1,0,1,1,1,3,1,-1.0,3,0
38,0,0,0,1,1,0,10,-1.0,1,0
41,0,2,0,2,1,1,7,-6.0,6,0
28,0,0,0,0,1,16,2,-1.0,8,1
30,1,0,0,1,0,0,2,0.0,3,0
23,0,0,2,2,1,1,1,0.0,5,0
25,0,2,0,1,1,2,13,-13.0,4,1
40,0,2,0,1,1,5,1,0.0,4,0
24,0,3,2,0,1,8,0,0.0,8,0
27,1,0,0,1,1,5,65,0.0,4,1
44,1,2,0,1,1,11,181,0.0,3,0
35,0,0,0,1,0,6,2,-1.0,2,1
42,1,2,0,1,1,0,1,0.0,1,0
38,0,0,0,2,1,15,1,0.0,7,0
26,0,3,0,2,1,4,0,0.0,6,0
25,1,0,0,1,0,0,1,-1.0,3,0
64,0,3,1,1,1,1,8,-8.0,1,0
49,1,2,1,1,0,2,1,0.0,1,1
50,0,2,1,1,1,5,2,-1.0,1,1
66,1,2,1,1,1,0,1,0.0,1,1
46,1,2,1,1,0,0,2,-1.0,1,0
30,0,0,0,2,1,5,2,-1.0,6,1
22,1,2,2,1,0,0,0,0.0,3,0
23,1,2,2,1,1,1,10,-1.0,4,0
30,1,5,0,2,1,0,2,-1.0,6,1
31,1,3,0,1,1,0,1,-1.0,1,0
31,0,5,0,1,1,1,1,-1.0,2,0
25,1,0,0,1,1,0,1,-1.0,3,0
21,0,2,2,2,0,0,3,-1.0,7,0
27,1,0,0,1,1,0,2,-1.0,2,0
20,1,3,2,1,1,0,2,-1.0,2,1
32,0,3,0,1,1,1,1,-27.0,1,0
24,0,2,2,2,0,0,1,0.0,5,0
20,0,0,2,1,1,1,1,-1.0,3,0
31,1,0,0,0,1,3,20,-20.0,8,1
27,1,0,0,2,1,3,7,-1.0,7,1
40,0,0,0,1,1,0,2,-1.0,2,0
22,0,0,2,0,1,11,1,0.0,10,1
38,0,0,0,1,0,1,1,-1.0,1,0
36,1,3,0,0,1,1,40,-8.0,10,1
30,1,0,0,2,1,1,1,0.0,7,0
27,0,2,0,2,1,6,35,-1.0,6,1
59,1,2,1,1,0,0,1,0.0,1,0
37,1,2,0,1,1,2,2,-2.0,1,0
28,1,0,0,2,1,5,2,0.0,7,1
38,0,2,0,1,1,0,1,0.0,1,0
22,0,0,2,0,1,0,1,-1.0,8,1
25,0,0,0,2,1,4,32,-1.0,5,1
51,1,2,1,1,1,0,1,0.0,1,0
29,1,2,0,1,1,2,26,29.0,2,1
28,0,0,0,1,1,10,1,0.0,3,0
55,1,0,1,1,1,9,4,0.0,3,1
23,0,2,2,0,0,3,6,-1.0,10,0
22,1,0,2,2,0,0,8,-1.0,5,0
19,0,2,2,0,0,2,23,-2.0,10,1
31,1,0,0,1,1,1,0,-27.0,1,0
29,1,0,0,1,1,0,1,0.0,1,0
61,0,0,1,2,1,15,2,-1.0,6,1
31,1,3,0,1,1,0,1,0.0,2,0
20,0,0,2,0,1,4,3,-1.0,9,1
26,0,2,0,2,1,3,2,-1.0,7,1
27,1,2,0,0,1,5,2,0.0,9,0
25,0,2,0,2,1,1,2,-1.0,5,0
23,0,2,2,2,1,3,10,-1.0,5,1
38,0,0,0,1,1,0,2,-1.0,1,0
27,0,0,0,0,1,18,1,0.0,9,1
35,0,2,0,1,0,0,0,0.0,3,1
22,0,5,2,0,1,0,17,-1.0,9,0
58,0,0,1,1,0,4,2,-14.0,2,1
57,1,2,1,1,0,0,2,-1.0,4,1
21,0,0,2,1,1,0,1,-1.0,3,0
22,0,0,2,0,0,0,2,-1.0,8,0
30,0,0,0,1,1,0,3,-1.0,2,0
30,0,0,0,0,1,8,2,-1.0,8,1
31,0,0,0,2,0,10,1,-1.0,6,0
45,0,2,1,2,0,1,2,0.0,6,0
39,0,2,0,1,1,2,5,-13.0,2,1
31,0,0,0,0,1,0,2,-1.0,8,1
22,0,0,2,1,1,1,2,-1.0,4,1
27,0,0,0,2,1,13,3,-1.0,7,1
38,0,2,0,1,1,1,1,-1.0,1,1
31,0,0,0,0,1,23,56,0.0,10,1
47,0,0,1,0,1,20,2,-1.0,9,0
22,0,0,2,2,1,3,1,-1.0,7,0
35,1,0,0,0,1,1,80,-1.0,9,1
23,1,3,2,2,1,2,20,-19.0,6,1
65,1,0,1,1,1,2,6,-18.0,2,1
35,1,0,0,1,1,0,2,-1.0,4,0
