sex,race,case_type,wcisclass,age_offense,prior_felony,prior_misdemeanor,prior_criminal_traffic,highest_severity,release,is_recid_new,recid_180d,violent_crime,recid_180d_violent
1,3,1,7,30,5,6,0,15.0,0,1.0,1.0,0,1.0
1,3,1,5,31,5,6,0,13.0,0,1.0,1.0,0,1.0
1,3,1,5,31,5,6,0,13.0,0,1.0,1.0,1,1.0
1,3,1,5,31,5,6,0,13.0,0,1.0,1.0,0,1.0
1,3,1,5,31,5,6,0,13.0,0,1.0,1.0,1,1.0
1,3,0,31,34,6,7,0,7.0,1,0.0,0.0,0,0.0
1,3,2,43,34,6,6,1,7.0,1,0.0,0.0,0,0.0
1,3,2,6,24,1,0,0,10.0,0,1.0,1.0,1,1.0
1,3,2,6,24,1,1,0,10.0,0,1.0,1.0,1,0.0
1,3,2,61,25,1,2,0,7.0,0,1.0,1.0,0,0.0
1,3,2,13,26,2,4,0,9.0,0,0.0,0.0,0,0.0
1,3,2,5,26,2,4,0,10.0,0,0.0,0.0,0,0.0
1,3,2,51,30,1,2,3,10.0,1,1.0,1.0,0,0.0
1,3,1,33,17,2,0,0,10.0,1,1.0,1.0,0,1.0
1,3,1,33,17,2,0,0,10.0,1,1.0,1.0,0,1.0
1,3,1,5,17,2,0,0,13.0,1,1.0,1.0,0,1.0
1,3,1,33,18,3,0,0,12.0,1,1.0,1.0,1,0.0
1,3,1,33,19,5,0,0,13.0,1,1.0,1.0,0,0.0
1,3,1,62,19,5,0,0,14.0,1,1.0,1.0,0,0.0
1,3,1,47,21,6,0,0,12.0,1,1.0,1.0,0,1.0
1,3,1,6,23,7,0,0,13.0,0,0.0,0.0,1,0.0
1,3,2,13,27,0,0,0,9.0,1,0.0,0.0,0,0.0
1,0,0,34,47,0,0,1,7.0,0,1.0,1.0,0,0.0
1,0,0,34,47,0,0,1,7.0,1,1.0,1.0,0,0.0
1,0,2,5,48,0,0,2,10.0,0,1.0,1.0,0,0.0
1,0,1,23,50,1,1,2,13.0,1,1.0,1.0,0,1.0
1,0,2,6,51,2,1,2,10.0,0,1.0,1.0,1,0.0
1,0,0,31,52,2,2,2,7.0,1,0.0,0.0,0,0.0
1,0,2,35,55,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,2,16,33,0,1,0,7.0,1,0.0,0.0,0,0.0
1,3,2,6,35,0,0,1,10.0,1,0.0,0.0,1,0.0
1,3,0,35,28,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,2,35,37,0,0,1,7.0,0,0.0,0.0,0,0.0
1,3,0,35,33,1,0,0,7.0,0,0.0,0.0,0,0.0
1,3,2,16,37,0,0,0,7.0,1,1.0,1.0,0,0.0
1,3,1,16,38,0,1,0,7.0,1,0.0,0.0,0,0.0
1,3,0,35,30,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,1,33,26,0,0,0,13.0,0,0.0,0.0,0,0.0
1,3,0,35,24,0,0,0,7.0,0,1.0,1.0,0,0.0
1,3,0,35,25,0,0,1,7.0,0,1.0,1.0,0,0.0
1,3,0,35,27,0,0,2,7.0,1,1.0,1.0,0,0.0
1,0,1,45,21,0,0,0,10.0,1,1.0,1.0,0,0.0
1,0,1,16,22,1,0,0,12.0,1,0.0,0.0,0,0.0
1,3,2,6,19,0,0,0,10.0,1,0.0,0.0,1,0.0
1,3,2,43,28,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,2,49,20,0,4,0,10.0,1,1.0,1.0,0,0.0
1,3,2,55,20,0,4,0,10.0,1,1.0,1.0,0,0.0
1,3,2,5,20,0,4,0,10.0,1,1.0,1.0,0,0.0
1,3,2,49,20,0,4,0,10.0,1,1.0,1.0,0,0.0
1,3,2,35,20,0,5,0,7.0,0,1.0,1.0,0,0.0
1,3,2,35,21,0,6,0,7.0,1,1.0,1.0,0,0.0
1,3,2,13,22,0,7,0,9.0,0,1.0,1.0,0,1.0
1,3,1,37,23,0,9,0,13.0,1,1.0,1.0,1,0.0
1,3,2,49,23,1,8,0,10.0,1,1.0,1.0,0,0.0
1,3,2,5,25,1,9,0,10.0,1,0.0,0.0,0,0.0
1,3,0,35,22,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,1,6,28,1,0,0,13.0,1,0.0,0.0,1,0.0
1,3,1,44,21,0,0,0,15.0,1,0.0,0.0,1,0.0
1,0,2,6,40,0,0,0,10.0,1,0.0,0.0,1,0.0
1,0,2,13,48,0,1,0,9.0,1,0.0,0.0,0,0.0
1,3,2,49,37,0,0,0,10.0,1,0.0,0.0,0,0.0
1,3,1,5,31,2,1,0,13.0,1,1.0,1.0,1,1.0
1,3,2,6,31,3,0,0,10.0,1,1.0,1.0,1,1.0
1,3,2,55,32,5,4,0,10.0,0,1.0,1.0,0,0.0
1,3,2,5,33,5,4,0,10.0,0,1.0,1.0,0,0.0
1,3,2,11,33,5,6,0,10.0,1,1.0,1.0,0,0.0
1,3,2,50,33,5,8,0,10.0,0,1.0,1.0,0,0.0
1,3,1,7,33,5,9,0,10.0,0,1.0,1.0,0,0.0
1,3,2,61,33,6,9,0,7.0,0,1.0,1.0,0,0.0
1,3,2,50,34,6,11,0,10.0,1,1.0,1.0,0,1.0
1,3,2,5,34,6,11,0,10.0,1,1.0,1.0,0,1.0
1,3,2,6,34,6,13,0,10.0,0,1.0,1.0,1,0.0
1,3,1,33,35,8,15,0,12.0,1,0.0,0.0,0,0.0
1,3,1,5,35,8,15,0,13.0,0,0.0,0.0,0,0.0
1,3,0,35,28,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,2,58,21,0,1,0,7.0,1,0.0,0.0,0,0.0
1,3,2,43,21,0,1,0,7.0,1,0.0,0.0,0,0.0
1,3,1,40,26,0,0,0,9.0,0,0.0,0.0,0,0.0
1,0,2,10,17,0,0,0,10.0,1,0.0,0.0,0,0.0
1,0,1,16,20,0,1,0,12.0,1,1.0,1.0,0,0.0
1,0,2,62,25,1,1,0,10.0,0,0.0,0.0,0,0.0
1,3,2,16,17,0,0,0,7.0,1,0.0,0.0,0,0.0
1,3,1,16,33,0,1,0,7.0,1,0.0,0.0,0,0.0
1,3,0,31,21,0,0,0,7.0,1,1.0,1.0,0,0.0
1,3,0,35,23,0,0,1,7.0,0,0.0,0.0,0,0.0
1,3,1,28,31,0,0,2,13.0,1,0.0,0.0,1,0.0
1,0,1,40,38,0,1,0,12.0,1,0.0,0.0,0,0.0
1,0,2,16,41,1,1,0,7.0,1,0.0,0.0,0,0.0
1,3,2,13,24,0,0,0,9.0,1,0.0,0.0,0,0.0
1,3,0,35,37,0,0,0,7.0,0,1.0,1.0,0,0.0
1,3,0,35,21,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,0,35,23,0,0,1,7.0,0,0.0,0.0,0,0.0
1,3,0,35,31,0,0,2,7.0,0,0.0,0.0,0,0.0
1,3,1,44,29,0,1,0,12.0,1,0.0,0.0,0,0.0
1,3,2,49,32,1,1,0,10.0,1,0.0,0.0,0,0.0
1,3,0,35,26,0,1,0,7.0,0,0.0,0.0,0,0.0
1,3,2,6,19,0,0,0,10.0,1,1.0,1.0,1,0.0
1,3,2,13,21,0,2,0,9.0,1,0.0,0.0,0,0.0
1,3,1,47,19,0,0,0,10.0,1,0.0,0.0,0,0.0
1,3,2,43,27,1,0,0,9.0,1,0.0,0.0,1,0.0
1,3,2,49,25,0,0,0,10.0,1,1.0,1.0,0,0.0
1,0,0,34,26,1,0,0,7.0,1,0.0,0.0,0,0.0
1,0,2,49,35,2,1,1,10.0,1,1.0,1.0,0,1.0
1,0,2,6,36,2,1,1,10.0,1,1.0,1.0,1,1.0
1,0,1,56,36,1,2,1,16.0,1,1.0,1.0,1,1.0
1,3,2,13,19,3,0,0,9.0,0,0.0,0.0,0,0.0
1,3,2,49,22,3,2,0,10.0,1,0.0,0.0,0,0.0
1,3,1,27,26,4,3,0,10.0,1,0.0,0.0,1,0.0
1,3,1,23,26,4,3,0,13.0,0,0.0,0.0,0,0.0
1,3,2,13,35,5,3,0,9.0,1,0.0,0.0,0,0.0
1,3,1,39,21,0,1,0,7.0,1,0.0,0.0,0,0.0
1,3,2,15,21,1,0,0,7.0,1,0.0,0.0,0,0.0
1,3,1,16,30,1,1,0,9.0,1,0.0,0.0,0,0.0
1,3,2,16,17,0,0,0,7.0,1,1.0,1.0,0,1.0
1,3,1,1,18,0,1,0,18.0,1,0.0,0.0,1,0.0
1,3,0,34,23,0,0,0,7.0,1,0.0,0.0,0,0.0
1,3,2,55,23,0,2,0,7.0,1,1.0,1.0,0,0.0
1,3,2,15,24,0,3,0,7.0,1,0.0,0.0,0,0.0
1,3,2,6,32,0,4,0,10.0,1,0.0,0.0,1,0.0
1,3,2,13,42,0,0,0,9.0,1,0.0,0.0,0,0.0
1,3,2,35,33,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,0,35,22,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,2,63,26,0,2,0,10.0,1,0.0,0.0,0,0.0
1,3,0,31,22,0,1,2,7.0,0,1.0,1.0,0,0.0
1,3,0,35,23,0,1,2,7.0,1,1.0,1.0,0,0.0
1,3,0,35,24,0,1,2,7.0,1,1.0,1.0,0,0.0
1,3,0,35,26,1,1,5,7.0,1,0.0,0.0,0,0.0
1,3,0,31,26,1,1,5,7.0,0,0.0,0.0,0,0.0
1,3,0,35,28,0,2,0,7.0,0,0.0,0.0,0,0.0
1,3,2,5,28,0,1,1,10.0,1,0.0,0.0,0,0.0
1,3,2,5,28,0,1,1,10.0,1,0.0,0.0,0,0.0
1,0,2,49,19,0,1,0,10.0,1,0.0,0.0,0,0.0
1,0,0,31,26,0,2,3,7.0,1,1.0,1.0,0,0.0
1,0,0,31,26,0,2,5,7.0,0,0.0,0.0,0,0.0
1,0,2,6,21,0,0,0,10.0,1,1.0,1.0,1,0.0
1,0,2,27,22,1,2,0,10.0,1,1.0,1.0,0,0.0
1,0,2,11,22,1,2,0,10.0,1,1.0,1.0,0,0.0
1,0,1,11,22,0,3,0,10.0,0,1.0,1.0,0,0.0
1,0,2,13,23,1,3,0,9.0,0,0.0,0.0,0,0.0
1,3,0,31,24,0,0,1,7.0,1,0.0,0.0,0,0.0
1,3,0,31,24,0,0,1,7.0,1,0.0,0.0,0,0.0
1,3,1,37,17,1,1,0,10.0,1,1.0,1.0,1,0.0
1,3,1,5,17,1,1,0,10.0,1,1.0,1.0,0,0.0
1,3,2,16,18,2,1,0,7.0,0,1.0,1.0,0,0.0
1,3,0,31,18,2,2,0,7.0,1,1.0,1.0,0,0.0
1,3,0,31,19,2,2,1,7.0,1,1.0,1.0,0,0.0
1,3,2,13,20,3,2,2,9.0,1,1.0,1.0,0,0.0
1,3,1,16,20,2,3,2,10.0,1,1.0,1.0,0,0.0
1,3,2,5,22,3,4,3,10.0,1,0.0,0.0,0,0.0
1,3,2,13,25,3,5,3,9.0,1,0.0,0.0,0,0.0
1,0,2,6,17,0,0,0,10.0,1,1.0,1.0,1,0.0
1,0,0,31,18,0,2,1,7.0,1,1.0,1.0,0,0.0
1,0,0,31,18,0,2,1,7.0,1,1.0,1.0,0,0.0
1,0,2,62,18,0,1,3,10.0,1,1.0,1.0,0,0.0
1,0,0,31,19,0,2,2,7.0,1,1.0,1.0,0,0.0
1,0,0,31,21,0,4,4,7.0,1,1.0,1.0,0,0.0
1,0,2,5,22,0,3,5,7.0,1,1.0,1.0,0,0.0
1,0,2,49,22,0,3,4,10.0,1,1.0,1.0,0,0.0
1,0,0,31,22,0,3,4,7.0,1,1.0,1.0,0,0.0
1,0,2,49,25,2,4,7,10.0,1,0.0,0.0,0,0.0
1,0,2,13,42,0,0,0,9.0,1,0.0,0.0,0,0.0
1,0,1,7,52,0,1,0,10.0,1,0.0,0.0,0,0.0
1,3,2,13,26,0,0,0,9.0,1,0.0,0.0,0,0.0
1,3,2,11,27,0,0,0,10.0,1,0.0,0.0,0,0.0
1,3,2,6,33,0,1,0,10.0,1,0.0,0.0,1,0.0
1,3,2,61,36,0,3,0,7.0,1,0.0,0.0,0,0.0
1,3,0,35,31,1,0,0,7.0,0,0.0,0.0,0,0.0
1,3,1,16,25,0,0,1,18.0,1,0.0,0.0,0,0.0
1,3,0,35,23,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,0,35,27,0,0,1,7.0,0,0.0,0.0,0,0.0
1,0,1,38,20,0,0,0,12.0,1,0.0,0.0,0,0.0
1,0,2,49,33,0,0,0,10.0,1,1.0,1.0,0,0.0
1,0,1,55,34,0,1,0,13.0,1,0.0,0.0,0,0.0
1,3,2,62,18,0,0,0,10.0,1,0.0,0.0,0,0.0
1,3,2,16,23,0,1,0,7.0,0,0.0,0.0,0,0.0
1,3,2,62,28,0,3,0,10.0,1,1.0,1.0,0,0.0
1,3,2,43,30,0,4,0,10.0,1,1.0,1.0,0,1.0
1,3,1,44,33,0,5,0,10.0,1,0.0,0.0,1,0.0
1,3,1,39,23,1,0,0,12.0,1,0.0,0.0,0,0.0
1,3,1,5,24,1,0,0,13.0,1,0.0,0.0,0,0.0
1,3,2,15,27,2,0,0,7.0,0,0.0,0.0,0,0.0
1,3,2,6,29,2,1,0,10.0,1,1.0,1.0,1,1.0
1,3,1,37,30,2,2,0,10.0,1,0.0,0.0,1,0.0
1,3,2,15,20,0,0,0,7.0,1,0.0,0.0,0,0.0
1,3,0,35,24,0,1,0,7.0,0,0.0,0.0,0,0.0
1,3,0,35,19,0,1,0,7.0,1,0.0,0.0,1,0.0
1,3,0,35,22,0,1,1,7.0,0,1.0,1.0,0,0.0
1,3,0,35,24,0,1,3,7.0,0,0.0,0.0,0,0.0
1,3,2,16,17,1,0,0,7.0,1,1.0,1.0,0,0.0
1,3,1,40,18,0,1,0,10.0,1,1.0,1.0,0,0.0
1,3,0,31,19,1,3,1,7.0,1,0.0,0.0,0,0.0
1,3,2,49,19,1,2,2,10.0,1,0.0,0.0,0,0.0
1,3,2,49,19,1,2,2,10.0,0,0.0,0.0,0,0.0
1,3,1,37,23,1,3,2,9.0,1,1.0,1.0,1,0.0
1,3,0,31,28,2,6,3,7.0,0,1.0,1.0,0,0.0
1,3,0,31,28,2,7,3,7.0,1,1.0,1.0,0,0.0
1,3,2,49,28,2,6,4,10.0,0,1.0,1.0,0,0.0
1,3,2,5,28,2,6,4,10.0,0,1.0,1.0,0,0.0
1,3,2,43,30,3,7,5,7.0,1,1.0,1.0,0,1.0
1,3,1,16,31,5,8,5,10.0,1,1.0,1.0,0,1.0
1,3,1,5,31,5,8,5,13.0,0,1.0,1.0,0,1.0
1,3,2,6,23,0,2,0,10.0,1,0.0,0.0,1,0.0
1,3,2,5,24,0,2,0,10.0,1,0.0,0.0,0,0.0
1,3,2,61,32,0,0,0,7.0,1,0.0,0.0,0,0.0
1,3,0,35,30,0,0,0,7.0,0,1.0,1.0,0,0.0
1,3,0,35,30,0,0,1,7.0,0,0.0,0.0,0,0.0
1,3,0,35,26,0,0,0,7.0,0,0.0,0.0,0,0.0
1,3,0,31,28,0,0,1,7.0,1,1.0,1.0,0,0.0
1,3,2,5,28,0,1,2,10.0,0,1.0,1.0,0,0.0
1,3,2,5,29,0,1,2,10.0,0,1.0,1.0,0,0.0
1,3,0,31,29,0,2,2,7.0,1,0.0,0.0,0,0.0
1,3,2,62,19,0,0,0,10.0,1,1.0,1.0,0,0.0
1,3,2,49,20,0,1,0,10.0,1,1.0,1.0,0,1.0
1,3,1,16,21,0,3,1,11.0,0,1.0,1.0,1,1.0
1,3,2,62,20,1,2,1,10.0,0,1.0,1.0,0,1.0
1,3,0,35,20,1,2,1,7.0,0,1.0,1.0,0,1.0
1,3,0,35,21,0,3,1,7.0,0,1.0,1.0,0,1.0
1,3,2,15,21,2,4,4,7.0,0,0.0,0.0,0,0.0
1,3,0,31,21,2,4,4,7.0,1,0.0,0.0,0,0.0
1,3,0,31,21,2,4,4,7.0,0,0.0,0.0,0,0.0
1,3,2,11,28,0,0,0,10.0,0,0.0,0.0,0,0.0
1,3,0,31,22,0,0,1,7.0,1,1.0,1.0,0,0.0
1,3,0,35,22,0,0,1,7.0,0,1.0,1.0,0,0.0
1,3,2,5,23,0,0,4,10.0,1,0.0,0.0,0,0.0
1,3,2,6,34,0,2,0,10.0,1,1.0,1.0,1,0.0
1,3,2,11,35,0,2,0,10.0,1,1.0,1.0,0,0.0
1,3,2,13,34,0,3,0,9.0,1,1.0,1.0,0,1.0
1,3,2,6,35,0,3,0,10.0,1,1.0,1.0,1,1.0
1,3,0,31,36,0,4,0,7.0,1,1.0,1.0,0,0.0
1,3,0,35,38,0,4,1,7.0,0,1.0,1.0,0,0.0
1,3,0,31,40,0,4,3,7.0,1,0.0,0.0,0,0.0
1,3,0,31,40,0,4,3,7.0,1,0.0,0.0,0,0.0
1,1,2,13,36,1,0,0,9.0,1,1.0,1.0,0,0.0
1,1,0,35,38,1,1,0,7.0,0,1.0,1.0,0,0.0
1,1,2,6,39,1,1,1,9.0,0,1.0,1.0,0,0.0
1,1,2,13,41,1,2,1,9.0,1,0.0,0.0,0,0.0
1,1,2,49,45,1,3,1,10.0,1,0.0,0.0,0,0.0
1,0,2,6,25,0,0,0,10.0,1,0.0,0.0,1,0.0
1,3,1,14,20,1,0,0,14.0,1,0.0,0.0,0,0.0
1,3,1,5,22,1,0,0,13.0,1,0.0,0.0,0,0.0
1,3,2,13,29,0,0,0,9.0,1,0.0,0.0,0,0.0
1,3,2,6,31,0,1,0,10.0,1,1.0,1.0,1,0.0
1,3,2,49,33,0,2,0,10.0,0,0.0,0.0,0,0.0
1,3,2,16,37,0,4,0,7.0,1,1.0,1.0,0,0.0
1,3,2,5,38,0,5,0,7.0,0,1.0,1.0,0,0.0
1,3,0,31,39,0,6,0,7.0,0,0.0,0.0,0,0.0
1,3,2,35,29,0,0,1,7.0,0,1.0,1.0,0,1.0
1,3,2,6,31,0,1,1,10.0,1,1.0,1.0,1,0.0
1,3,0,35,31,0,2,1,7.0,0,1.0,1.0,0,0.0
1,3,2,13,33,0,2,2,9.0,1,1.0,1.0,0,0.0
1,3,2,31,35,0,3,2,7.0,1,0.0,0.0,0,0.0
